domain,severity,private_comment,public_comment
076.ne.jp,suspend,Garden Fence 2024-11-17 [6/7] hate-associated,hate-associated
1611.social,suspend,"Garden Fence 2024-11-17 [6/7] hate-associated, anti-lgbtq, hate-speech","hate-associated, anti-lgbtq, hate-speech"
5dollah.click,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, anti-lgbtq, harassment, hate-associated, racism","hate-speech, anti-lgbtq, harassment, hate-associated, racism"
activitypub-troll.cf,suspend,"Garden Fence 2024-11-17 [7/7] dos, harassment, spam","dos, harassment, spam"
adachi.party,suspend,"Garden Fence 2024-11-17 [6/7] harassment, hate-associated, hate-speech, racism","harassment, hate-associated, hate-speech, racism"
aethy.com,suspend,"Garden Fence 2024-11-17 [7/7] underage, inappropriate","underage, inappropriate"
alterracloud.com,suspend,"Garden Fence 2024-11-17 [3/7] harassment, hate-speech","harassment, hate-speech"
annihilation.social,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, harassment, hate-associated","hate-speech, harassment, hate-associated"
asbestos.cafe,suspend,"Garden Fence 2024-11-17 [7/7] alt-right, hate-associated, anti-lgbtq, hate-speech, racism, underage","alt-right, hate-associated, anti-lgbtq, hate-speech, racism, underage"
bae.st,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, alt-right, anti-lgbtq, hate-associated, inappropriate, nazism, racism","hate-speech, alt-right, anti-lgbtq, hate-associated, inappropriate, nazism, racism"
banepo.st,suspend,"Garden Fence 2024-11-17 [6/7] hate-associated, antivax, harassment","hate-associated, antivax, harassment"
baraag.net,suspend,"Garden Fence 2024-11-17 [5/7] hate-associated, inappropriate, underage","hate-associated, inappropriate, underage"
beefyboys.win,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, hate-associated","hate-speech, hate-associated"
berserker.town,suspend,"Garden Fence 2024-11-17 [6/7] hate-speech, alt-right, anti-lgbtq, fascism","hate-speech, alt-right, anti-lgbtq, fascism"
bird.makeup,suspend,"Garden Fence 2024-11-17 [5/7] bots, twitter","bots, twitter"
blob.cat,suspend,"Garden Fence 2024-11-17 [6/7] harassment, porn","harassment, porn"
boymoder.biz,suspend,"Garden Fence 2024-11-17 [6/7] hate-associated, harassment, hate-speech, racism, underage","hate-associated, harassment, hate-speech, racism, underage"
breastmilk.club,suspend,"Garden Fence 2024-11-17 [7/7] racism, anti-lgbtq, harassment, hate-associated, hate-speech","racism, anti-lgbtq, harassment, hate-associated, hate-speech"
brighteon.social,suspend,Garden Fence 2024-11-17 [6/7] conspiracy,conspiracy
bungle.online,suspend,"Garden Fence 2024-11-17 [6/7] hate-associated, racism","hate-associated, racism"
cachapa.xyz,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, racism","hate-speech, racism"
cannibal.cafe,suspend,"Garden Fence 2024-11-17 [5/7] inappropriate, underage","inappropriate, underage"
cawfee.club,suspend,"Garden Fence 2024-11-17 [7/7] hate-associated, hate-speech","hate-associated, hate-speech"
childlove.su,suspend,Garden Fence 2024-11-17 [6/7] underage,underage
clew.lol,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, racism, hate-associated","hate-speech, racism, hate-associated"
clubcyberia.co,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, harassment, racism","hate-speech, harassment, racism"
collapsitarian.io,suspend,"Garden Fence 2024-11-17 [6/7] alt-right, hate-associated","alt-right, hate-associated"
contrapointsfan.club,suspend,"Garden Fence 2024-11-17 [6/7] hate-associated, hate-speech","hate-associated, hate-speech"
cryptodon.lol,suspend,Garden Fence 2024-11-17 [5/7] crypto,crypto
cum.camp,suspend,"Garden Fence 2024-11-17 [6/7] harassment, inappropriate","harassment, inappropriate"
cum.salon,suspend,"Garden Fence 2024-11-17 [6/7] hate-speech, porn","hate-speech, porn"
cunnyborea.space,suspend,"Garden Fence 2024-11-17 [4/7] antisemitism, hate-speech, inappropriate, racism, underage","antisemitism, hate-speech, inappropriate, racism, underage"
cunnyborea.top,suspend,"Garden Fence 2024-11-17 [4/7] hate-speech, inappropriate, racism, spam, underage","hate-speech, inappropriate, racism, spam, underage"
cutefunny.net,suspend,"Garden Fence 2024-11-17 [2/7] hate-speech, inappropriate, racism, spam, underage","hate-speech, inappropriate, racism, spam, underage"
cybercriminal.eu,suspend,"Garden Fence 2024-11-17 [6/7] harassment, hate-associated, spam","harassment, hate-associated, spam"
cyberstorm.one,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, nazism, alt-right","hate-speech, nazism, alt-right"
decayable.ink,suspend,"Garden Fence 2024-11-17 [7/7] alt-right, hate-speech, racism, hate-associated","alt-right, hate-speech, racism, hate-associated"
detroitriotcity.com,suspend,"Garden Fence 2024-11-17 [7/7] anti-lgbtq, harassment, hate-speech, racism","anti-lgbtq, harassment, hate-speech, racism"
eientei.org,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, racism","hate-speech, racism"
eveningzoo.club,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, alt-right, antisemitism, conspiracy, fascism, racism","hate-speech, alt-right, antisemitism, conspiracy, fascism, racism"
federated.fun,suspend,"Garden Fence 2024-11-17 [6/7] anti-lgbtq, hate-speech","anti-lgbtq, hate-speech"
fightthis.net,suspend,Garden Fence 2024-11-17 [6/7] hate-associated,hate-associated
fluf.club,suspend,"Garden Fence 2024-11-17 [6/7] hate-associated, hate-speech","hate-associated, hate-speech"
freak.university,suspend,"Garden Fence 2024-11-17 [6/7] underage, inappropriate","underage, inappropriate"
freeatlantis.com,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, conspiracy, misinformation","hate-speech, conspiracy, misinformation"
freesoftwareextremist.com,suspend,"Garden Fence 2024-11-17 [6/7] alt-right, hate-associated, hate-speech","alt-right, hate-associated, hate-speech"
freespeechextremist.com,suspend,Garden Fence 2024-11-17 [7/7] hate-speech,hate-speech
frennet.xyz,suspend,"Garden Fence 2024-11-17 [7/7] hate-associated, hate-speech","hate-associated, hate-speech"
gameliberty.club,suspend,"Garden Fence 2024-11-17 [7/7] bots, hate-speech, racism","bots, hate-speech, racism"
gearlandia.haus,suspend,"Garden Fence 2024-11-17 [6/7] anti-lgbtq, racism, alt-right","anti-lgbtq, racism, alt-right"
genderheretics.xyz,suspend,"Garden Fence 2024-11-17 [7/7] anti-lgbtq, hate-speech","anti-lgbtq, hate-speech"
geofront.rocks,suspend,"Garden Fence 2024-11-17 [6/7] racism, hate-speech, nazism","racism, hate-speech, nazism"
ghetti.monster,suspend,"Garden Fence 2024-11-17 [6/7] antisemitism, hate-speech, racism, underage","antisemitism, hate-speech, racism, underage"
gleasonator.com,suspend,Garden Fence 2024-11-17 [7/7] anti-lgbtq,anti-lgbtq
glee.li,suspend,"Garden Fence 2024-11-17 [6/7] harassment, racism, hate-speech","harassment, racism, hate-speech"
h5q.net,suspend,"Garden Fence 2024-11-17 [7/7] underage, inappropriate, porn","underage, inappropriate, porn"
hentai.baby,suspend,Garden Fence 2024-11-17 [6/7] underage,underage
hidamari.apartments,suspend,"Garden Fence 2024-11-17 [6/7] nazism, alt-right","nazism, alt-right"
husk.site,suspend,"Garden Fence 2024-11-17 [6/7] harassment, hate-speech, racism","harassment, hate-speech, racism"
iddqd.social,suspend,"Garden Fence 2024-11-17 [7/7] harassment, hate-associated, nazism","harassment, hate-associated, nazism"
ignorelist.com,suspend,"Garden Fence 2024-11-17 [6/7] dos, spam","dos, spam"
intkos.link,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, alt-right, antisemitism","hate-speech, alt-right, antisemitism"
kawa-kun.com,suspend,Garden Fence 2024-11-17 [6/7] hate-associated,hate-associated
kitsunemimi.club,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, racism","hate-speech, racism"
kiwifarms.cc,suspend,"Garden Fence 2024-11-17 [7/7] harassment, alt-right, anti-lgbtq, racism","harassment, alt-right, anti-lgbtq, racism"
kompost.cz,suspend,"Garden Fence 2024-11-17 [6/7] hate-associated, hate-speech, nazism, racism","hate-associated, hate-speech, nazism, racism"
kurosawa.moe,suspend,"Garden Fence 2024-11-17 [7/7] hate-associated, hate-speech, racism, harassment, underage","hate-associated, hate-speech, racism, harassment, underage"
lain.la,suspend,Garden Fence 2024-11-17 [6/7] hate-associated,hate-associated
leafposter.club,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, hate-associated","hate-speech, hate-associated"
lewdieheaven.com,suspend,Garden Fence 2024-11-17 [6/7] underage,underage
ligma.pro,suspend,Garden Fence 2024-11-17 [6/7] alt-right,alt-right
lolicon.rocks,suspend,"Garden Fence 2024-11-17 [6/7] hate-speech, underage","hate-speech, underage"
lolison.network,suspend,Garden Fence 2024-11-17 [6/7] underage,underage
lolison.top,suspend,"Garden Fence 2024-11-17 [6/7] underage, inappropriate","underage, inappropriate"
lovingexpressions.net,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, hate-associated, nazism, racism","hate-speech, hate-associated, nazism, racism"
mapsupport.de,suspend,"Garden Fence 2024-11-17 [5/7] harassment, inappropriate, underage","harassment, inappropriate, underage"
mastinator.com,suspend,"Garden Fence 2024-11-17 [7/7] bots, harassment","bots, harassment"
merovingian.club,suspend,"Garden Fence 2024-11-17 [7/7] anti-lgbtq, hate-associated, hate-speech","anti-lgbtq, hate-associated, hate-speech"
midwaytrades.com,suspend,"Garden Fence 2024-11-17 [6/7] hate-associated, alt-right, anti-lgbtq","hate-associated, alt-right, anti-lgbtq"
mirr0r.city,suspend,"Garden Fence 2024-11-17 [6/7] hate-associated, underage","hate-associated, underage"
misskey-forkbomb.cf,suspend,"Garden Fence 2024-11-17 [6/7] dos, spam","dos, spam"
mouse.services,suspend,"Garden Fence 2024-11-17 [7/7] harassment, hate-associated","harassment, hate-associated"
mugicha.club,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, racism","hate-speech, racism"
natehiggers.online,suspend,"Garden Fence 2024-11-17 [4/7] fascism, hate-speech, racism","fascism, hate-speech, racism"
nationalist.social,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, nazism, racism, alt-right","hate-speech, nazism, racism, alt-right"
nicecrew.digital,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, anti-lgbtq, racism","hate-speech, anti-lgbtq, racism"
nnia.space,suspend,"Garden Fence 2024-11-17 [6/7] alt-right, underage","alt-right, underage"
noagendasocial.com,suspend,"Garden Fence 2024-11-17 [6/7] hate-speech, alt-right","hate-speech, alt-right"
noauthority.social,suspend,"Garden Fence 2024-11-17 [7/7] alt-right, hate-speech, racism, anti-lgbtq, conspiracy, harassment","alt-right, hate-speech, racism, anti-lgbtq, conspiracy, harassment"
nobodyhasthe.biz,suspend,"Garden Fence 2024-11-17 [6/7] anti-lgbtq, hate-speech","anti-lgbtq, hate-speech"
norwoodzero.net,suspend,"Garden Fence 2024-11-17 [6/7] hate-associated, hate-speech, racism, anti-lgbtq, nazism","hate-associated, hate-speech, racism, anti-lgbtq, nazism"
novoa.nagoya,suspend,"Garden Fence 2024-11-17 [6/7] hate-associated, hate-speech, racism, antisemitism, harassment","hate-associated, hate-speech, racism, antisemitism, harassment"
nyanide.com,suspend,"Garden Fence 2024-11-17 [6/7] harassment, anti-lgbtq, hate-speech, nazism, racism","harassment, anti-lgbtq, hate-speech, nazism, racism"
obo.sh,suspend,"Garden Fence 2024-11-17 [6/7] underage, alt-right","underage, alt-right"
oddballs.online,suspend,"Garden Fence 2024-11-17 [4/7] inappropriate, underage","inappropriate, underage"
outpoa.st,suspend,"Garden Fence 2024-11-17 [7/7] alt-right, hate-speech, racism","alt-right, hate-speech, racism"
paravielfalt.zone,suspend,"Garden Fence 2024-11-17 [6/7] inappropriate, underage","inappropriate, underage"
parcero.bond,suspend,"Garden Fence 2024-11-17 [6/7] hate-speech, racism","hate-speech, racism"
pawoo.net,suspend,"Garden Fence 2024-11-17 [7/7] underage, inappropriate","underage, inappropriate"
pedo.school,suspend,Garden Fence 2024-11-17 [6/7] underage,underage
pibvt.net,suspend,Garden Fence 2024-11-17 [6/7] underage,underage
pieville.net,suspend,"Garden Fence 2024-11-17 [7/7] harassment, hate-speech, nazism","harassment, hate-speech, nazism"
pisskey.io,suspend,"Garden Fence 2024-11-17 [7/7] hate-speech, hate-associated","hate-speech, hate-associated"
pkteerium.xyz,suspend,"Garden Fence 2024-11-17 [6/7] alt-right, conspiracy","alt-right, conspiracy"
poa.st,suspend,"Garden Fence 2024-11-17 [7/7] nazism, alt-right, hate-speech, racism","nazism, alt-right, hate-speech, racism"
pone.social,suspend,"Garden Fence 2024-11-17 [6/7] anti-lgbtq, hate-associated, racism, underage","anti-lgbtq, hate-associated, racism, underage"
poster.place,suspend,"Garden Fence 2024-11-17 [7/7] anti-lgbtq, hate-speech, racism, alt-right, hate-associated, nazism","anti-lgbtq, hate-speech, racism, alt-right, hate-associated, nazism"
