#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
076.ne.jp,suspend,false,false,hate-associated,false
1611.social,suspend,false,false,"hate-associated, anti-lgbtq, hate-speech",false
5dollah.click,suspend,false,false,"hate-speech, anti-lgbtq, harassment, hate-associated, racism",false
activitypub-troll.cf,suspend,false,false,"dos, harassment, spam",false
adachi.party,suspend,false,false,"harassment, hate-associated, hate-speech, racism",false
aethy.com,suspend,false,false,"underage, inappropriate",false
alterracloud.com,suspend,false,false,"harassment, hate-speech",false
annihilation.social,suspend,false,false,"hate-speech, harassment, hate-associated",false
asbestos.cafe,suspend,false,false,"alt-right, hate-associated, anti-lgbtq, hate-speech, racism, underage",false
bae.st,suspend,false,false,"hate-speech, alt-right, anti-lgbtq, hate-associated, inappropriate, nazism, racism",false
banepo.st,suspend,false,false,"hate-associated, antivax, harassment",false
baraag.net,suspend,false,false,"underage, hate-associated, inappropriate",false
beefyboys.win,suspend,false,false,"hate-speech, hate-associated",false
berserker.town,suspend,false,false,"hate-speech, alt-right, anti-lgbtq, fascism",false
bird.makeup,suspend,false,false,"twitter, bots",false
blob.cat,suspend,false,false,"harassment, porn",false
breastmilk.club,suspend,false,false,"racism, anti-lgbtq, harassment, hate-associated, hate-speech",false
brighteon.social,suspend,false,false,conspiracy,false
bungle.online,suspend,false,false,"hate-associated, racism",false
cachapa.xyz,suspend,false,false,"hate-speech, racism",false
cannibal.cafe,suspend,false,false,"inappropriate, underage",false
cawfee.club,suspend,false,false,"hate-associated, hate-speech",false
childlove.su,suspend,false,false,"underage, inappropriate",false
clew.lol,suspend,false,false,"hate-speech, racism, hate-associated",false
clubcyberia.co,suspend,false,false,"hate-speech, harassment, racism",false
collapsitarian.io,suspend,false,false,"alt-right, hate-associated",false
contrapointsfan.club,suspend,false,false,"hate-associated, hate-speech",false
cryptodon.lol,suspend,false,false,crypto,false
cum.camp,suspend,false,false,"harassment, inappropriate",false
cum.salon,suspend,false,false,"hate-speech, porn",false
cunnyborea.space,suspend,false,false,"racism, antisemitism, hate-speech, inappropriate, underage",false
cunnyborea.top,suspend,false,false,"hate-speech, inappropriate, racism, spam, underage",false
cutefunny.net,suspend,false,false,"spam, hate-speech, inappropriate, racism, underage",false
cybercriminal.eu,suspend,false,false,"harassment, hate-associated, spam",false
cyberstorm.one,suspend,false,false,"hate-speech, nazism, alt-right",false
decayable.ink,suspend,false,false,"alt-right, hate-speech, racism, hate-associated",false
detroitriotcity.com,suspend,false,false,"anti-lgbtq, harassment, hate-speech, racism",false
eientei.org,suspend,false,false,"hate-speech, racism",false
eveningzoo.club,suspend,false,false,"hate-speech, alt-right, antisemitism, conspiracy, fascism, racism",false
federated.fun,suspend,false,false,"anti-lgbtq, hate-speech",false
fightthis.net,suspend,false,false,hate-associated,false
fluf.club,suspend,false,false,"hate-associated, hate-speech",false
freak.university,suspend,false,false,"inappropriate, underage",false
freeatlantis.com,suspend,false,false,"hate-speech, conspiracy, misinformation",false
freesoftwareextremist.com,suspend,false,false,"alt-right, hate-associated, hate-speech",false
freespeechextremist.com,suspend,false,false,hate-speech,false
frennet.xyz,suspend,false,false,"hate-associated, hate-speech",false
gameliberty.club,suspend,false,false,"bots, hate-speech, racism",false
gearlandia.haus,suspend,false,false,"anti-lgbtq, racism, alt-right",false
genderheretics.xyz,suspend,false,false,"anti-lgbtq, hate-speech",false
geofront.rocks,suspend,false,false,"racism, hate-speech, nazism",false
ghetti.monster,suspend,false,false,"antisemitism, hate-speech, inappropriate, racism, underage",false
gleasonator.com,suspend,false,false,anti-lgbtq,false
glee.li,suspend,false,false,"harassment, racism, hate-speech",false
h5q.net,suspend,false,false,"underage, inappropriate, porn",false
hentai.baby,suspend,false,false,"inappropriate, underage",false
hidamari.apartments,suspend,false,false,"nazism, alt-right",false
husk.site,suspend,false,false,"harassment, hate-speech, racism",false
iddqd.social,suspend,false,false,"harassment, hate-associated, nazism",false
ignorelist.com,suspend,false,false,"dos, spam",false
intkos.link,suspend,false,false,"hate-speech, alt-right, antisemitism",false
kawa-kun.com,suspend,false,false,hate-associated,false
kitsunemimi.club,suspend,false,false,"hate-speech, racism",false
kiwifarms.cc,suspend,false,false,"harassment, alt-right, anti-lgbtq, racism",false
kompost.cz,suspend,false,false,"hate-associated, hate-speech, nazism, racism",false
kurosawa.moe,suspend,false,false,"hate-associated, hate-speech, racism, harassment, underage",false
leafposter.club,suspend,false,false,"hate-speech, hate-associated",false
lewdieheaven.com,suspend,false,false,"underage, inappropriate",false
ligma.pro,suspend,false,false,alt-right,false
lolicon.rocks,suspend,false,false,"underage, hate-speech",false
lolison.network,suspend,false,false,"underage, inappropriate",false
lolison.top,suspend,false,false,"inappropriate, underage",false
lovingexpressions.net,suspend,false,false,"hate-speech, hate-associated, nazism, racism",false
mapsupport.de,suspend,false,false,"underage, harassment, inappropriate",false
mastinator.com,suspend,false,false,"bots, harassment",false
merovingian.club,suspend,false,false,"anti-lgbtq, hate-associated, hate-speech",false
midwaytrades.com,suspend,false,false,"hate-associated, alt-right, anti-lgbtq",false
mirr0r.city,suspend,false,false,"hate-associated, inappropriate, underage",false
misskey-forkbomb.cf,suspend,false,false,"dos, spam",false
mouse.services,suspend,false,false,"harassment, hate-associated",false
mugicha.club,suspend,false,false,"hate-speech, racism",false
natehiggers.online,suspend,false,false,"hate-speech, racism, fascism",false
nationalist.social,suspend,false,false,"hate-speech, nazism, racism, alt-right",false
nicecrew.digital,suspend,false,false,"hate-speech, anti-lgbtq, racism",false
nnia.space,suspend,false,false,"alt-right, underage",false
noagendasocial.com,suspend,false,false,"hate-speech, alt-right",false
noauthority.social,suspend,false,false,"alt-right, hate-speech, racism, anti-lgbtq, conspiracy, harassment",false
nobodyhasthe.biz,suspend,false,false,"hate-speech, anti-lgbtq",false
norwoodzero.net,suspend,false,false,"hate-associated, hate-speech, racism, anti-lgbtq, nazism",false
nyanide.com,suspend,false,false,"harassment, hate-speech, racism, anti-lgbtq, hate-associated, nazism",false
obo.sh,suspend,false,false,"underage, alt-right, inappropriate",false
oddballs.online,suspend,false,false,"underage, inappropriate",false
outpoa.st,suspend,false,false,"alt-right, hate-speech, racism",false
parcero.bond,suspend,false,false,"hate-speech, racism",false
pawoo.net,suspend,false,false,"underage, inappropriate",false
pedo.school,suspend,false,false,underage,false
pibvt.net,suspend,false,false,"underage, inappropriate",false
pieville.net,suspend,false,false,"harassment, hate-speech, nazism",false
pisskey.io,suspend,false,false,"hate-speech, hate-associated",false
pkteerium.xyz,suspend,false,false,"alt-right, conspiracy",false
poa.st,suspend,false,false,"nazism, alt-right, hate-speech, racism",false
pone.social,suspend,false,false,"anti-lgbtq, hate-associated, racism, underage",false
poster.place,suspend,false,false,"anti-lgbtq, hate-speech, racism, alt-right, hate-associated, nazism",false
quanta.wiki,suspend,false,false,"hate-associated, alt-right, anti-lgbtq",false
rape.pet,suspend,false,false,"inappropriate, underage",false
rapemeat.solutions,suspend,false,false,"hate-speech, inappropriate, underage",false
rdrama.cc,suspend,false,false,"anti-lgbtq, harassment, hate-speech, racism",false
